product_id,product_name,price,detail,published_date,publisher,product_image,author
1,아몬드,12000,편견과 차별을 넘어 성장하는 한 소년의 이야기. 뇌의 편도체가 작아 감정을 느끼지 못하는 주인공 윤재의 이야기를 그린 소설이다. 감정을 느끼지 못하는 주인공이 다른 사람들과 소통하며 성장해나가는 과정을 그렸다. 독자에게 감정의 중요성과 소통의 가치를 일깨운다.,20171031,창비,/img/아몬드.jpeg,손원평
2,모순,14000,현대 사회에서 일어나는 다양한 인간 관계의 갈등과 모순을 그린 소설이다. 주인공이 직면한 여러 가지 문제와 이를 해결해 나가는 과정을 통해 삶의 의미를 되짚어본다. 복잡한 현대 사회에서의 인간 관계를 깊이 있게 탐구한다.,20120120,문학동네,,양귀자
3,잡화점의 기적,13500,3명의 청소년들이 우연히 발견한 폐점된 잡화점에서 일어나는 신비한 사건을 통해 성장해가는 이야기. 사람들의 고민을 상담해주는 잡화점에서 벌어지는 미스터리와 감동의 이야기를 담고 있다. 독자에게 감동과 함께 삶의 의미를 되새기게 한다.,20120530,현대문학,\img\잡화점의 기적.jpeg,히가시노 게이고
4,82년생 김지영,13000,한국 사회에서 여성으로 살아가는 이야기를 통해 성 차별과 억압의 현실을 고발하는 소설이다. 주인공 김지영의 삶을 통해 여성들이 겪는 어려움을 생생하게 그렸다. 사회적 이슈를 환기시키며 많은 공감을 얻은 작품이다.,20161014,민음사,\img\82년생 김지영.jpeg,조남주
5,여행의 이유,15000,여행을 통해 느끼는 감정과 깨달음을 담은 에세이. 저자가 여행을 통해 경험한 다양한 이야기와 그 속에서 얻은 인생의 교훈을 담고 있다. 독자에게 여행의 즐거움과 새로운 시각을 제공한다.,20190301,문학동네,\img\여행의 이유.jpeg,김영하
6,자존감 수업,16000,자존감을 키우고 삶의 질을 높이는 방법을 제시하는 책이다. 다양한 사례와 실천 방법을 통해 독자가 스스로를 사랑하고 자존감을 높일 수 있도록 도와준다. 자존감을 통해 더 행복한 삶을 살 수 있도록 이끌어준다.,20160101,쌤앤파커스,\img\자존감 수업.jpeg,윤홍균
7,미움받을 용기,17000,아들러 심리학을 바탕으로 한 자기계발서. 남의 시선을 의식하지 않고 자신만의 길을 걸어갈 수 있는 용기를 주는 책이다. 자신을 찾고자 하는 이들에게 큰 용기와 영감을 준다.,20140101,인플루엔셜,\img\미움받을 용기.jpeg,기시미 이치로·고가 후미타케
8,언어의 온도,13000,따뜻한 언어로 사람들의 마음을 어루만지는 에세이. 일상 속에서 느끼는 소소한 감정과 생각들을 담담하게 그려냈다. 언어의 힘과 따뜻함을 느끼게 하는 감동적인 책이다.,20160905,문학동네,\img\언어의 온도.jpeg,이기주
9,리틀 라이프,14000,"어린 시절 끔찍한 학대와 폭력의 트라우마를 간직한 비밀스러운 인물 주드의 이야기가 펼쳐진다. 자신에게 주어진 삶의 부당함을 넘어서려 했던 남자, 살아내기 위해 스스로를 파괴해야 했던 한 남자의 삶을 그린 이 작품은, 한 가닥 희망의 가능성마저 거부하며 생의 고통을 정면으로 마주하게 한다.",20160616,시공사,\img\리틀 라이프.jpeg,한야 야나기하라
10,달러구트 꿈 백화점,15000,잠들어야만 갈 수 있는 신비한 꿈 백화점에서 벌어지는 이야기. 다양한 꿈을 사고 파는 백화점에서 벌어지는 에피소드를 통해 꿈의 의미를 되짚어본다. 신비로운 설정과 따뜻한 이야기가 어우러진 판타지 소설이다.,20200708,팩토리나인,\img\달러구트 꿈 백화점.jpeg,이미예
11,포커스 리딩,13500,"상투적인 말처럼 들릴 수도 있지만, 그가 자신의 생을 포기할 뻔했던 아픔을 극복하면서 깨달은 통찰이다. 그는 13가지 직업을 거치면서도 삶의 희망을 찾지 못한 채 방황하다가 자신만의 글 읽기로 3,000권이 넘는 책을 독파하고 인생을 행복과 성공의 길로 이끌었다. 글 속에서 사람을, 위대한 인생의 멘토를 만날 수 있었기에 가능한 일이었다.",20200520,지니의서재,\img\포커스 리딩.jpeg,박성후
12,세이노의 가르침,13000,삶의 진정한 의미와 성공의 철학을 전달하는 도서. 세이노의 인생 경험과 통찰을 바탕으로 독자들에게 동기부여와 지혜를 제공한다. 현실적인 조언과 깊이 있는 통찰로 많은 독자들에게 사랑받는 책이다.,20201028,교보문고,\img\세이노의 가르침.jpeg,이정명
13,당신이 옳다,16000,심리학적 관점에서 인간 관계의 문제를 해결하는 방법을 제시하는 책. 다양한 사례를 통해 독자가 자신의 문제를 이해하고 해결할 수 있도록 돕는다. 독자에게 자기 이해와 타인과의 관계 개선을 위한 실질적인 지침을 제공한다.,20190520,다산북스,\img\당신이 옳다.jpeg,정혜신
14,불편한 편의점,14000,편의점을 배경으로 한 소소한 일상 이야기를 담은 소설. 다양한 인물들이 편의점에서 겪는 에피소드를 통해 현대 사회의 모습을 그렸다. 독자에게 따뜻한 감동과 함께 현대 사회의 단면을 깊이 있게 전달한다.,20210420,북로그컴퍼니,\img\불편한 편의점.jpeg,김호연
